word,ipa
분사,p0 uu nf s0 aa
삼강,s0 aa mf kk aa ng
일반직,ii ll p0 aa nf c0 ii kf
배편,p0 qq ph yv nf
선두,s0 vv nf t0 uu
야치,ya ch ii
삼가,s0 aa mf kk aa
삼각,s0 aa mf kk aa kf
차녀,ch aa nn yv
약초,ya kf ch oo
분산,p0 uu nf s0 aa nf
편의점,ph yv nn xi c0 vv mf
고엽제,k0 oo yv pf cc ee
수계,s0 uu k0 ye
계수,k0 ye s0 uu
문,mm uu nf
돛,t0 oo tf
정통적,c0 vv ng th oo ng c0 vv kf
절약,c0 vv rr ya kf
등극,t0 xx ng k0 xx kf
판매점,ph aa nf mm qq c0 vv mf
봉산면,p0 oo ng s0 aa nf mm yv nf
배포,p0 qq ph oo
진성여왕,c0 ii nf s0 vv ng nn yv wa ng
황푸,h0 wa ng ph uu
영섭,yv ng s0 vv pf
삼경,s0 aa mf kk yv ng
정감,c0 vv ng k0 aa mf
계시,k0 ye s0 ii
소기,s0 oo k0 ii
진폭,c0 ii nf ph oo kf
쓰르,ss xx rr xx
소금,s0 oo k0 xx mf
소급,s0 oo k0 xx pf
트렌드,th xx rr ee nf t0 xx
해골,h0 qq k0 oo ll
해고,h0 qq k0 oo
등교,t0 xx ng k0 yo
삼공,s0 aa mf kk oo ng
신속히,s0 ii nf ss oo kh ii
따로,tt aa rr oo
삼고,s0 aa mf kk oo
특기,th xx kf kk ii
특급,th xx kf kk xx pf
해경,h0 qq k0 yv ng
스릴러,s0 xx rr ii ll rr vv
절연,c0 vv ll rr yv nf
해결,h0 qq k0 yv ll
정가,c0 vv ng k0 aa
삼계,s0 aa mf kk ye
옥동,oo kf tt oo ng
계승,k0 ye s0 xx ng
재무제표,c0 qq mm uu c0 ee ph yo
신격,s0 ii nf kk yv kf
빨강색,pp aa ll k0 aa ng s0 qq kf
소비재,s0 oo p0 ii c0 qq
윤웅렬,yu nn uu ng nn yv ll
가사,k0 aa s0 aa
주포,c0 uu ph oo
적시,c0 vv kf ss ii
분자,p0 uu nf c0 aa
신경,s0 ii nf kk yv ng
신검,s0 ii nf kk vv mf
걸쭉,k0 vv ll cc uu kf
굴하,k0 uu ll h0 aa
황폐,h0 wa ng ph ye
분장,p0 uu nf c0 aa ng
신겐,s0 ii nf kk ee nf
계약,k0 ye ya kf
정류소,c0 vv ng nn yu s0 oo
신고,s0 ii nf kk oo
신곡,s0 ii nf kk oo kf
분쟁,p0 uu nf c0 qq ng
지역민,c0 ii yv ng mm ii nf
뻗,pp vv tf
신공,s0 ii nf kk oo ng
안중근,aa nf c0 uu ng k0 xx nf
신과,s0 ii nf kk wa
신계,s0 ii nf kk ye
개성적,k0 qq s0 vv ng c0 vv kf
구소련,k0 uu s0 oo rr yv nf
뉴,nn yu
벤처,p0 ee nf ch vv
치르,ch ii rr xx
퇴로,th wo rr oo
비동맹,p0 ii t0 oo ng mm qq ng
계엄,k0 ye vv mf
유가사,yu k0 aa s0 aa
활동적,h0 wa ll t0 oo ng c0 vv kf
신간,s0 ii nf kk aa nf
화강암,h0 wa k0 aa ng aa mf
분유,p0 uu nf nn yu
신강,s0 ii nf kk aa ng
계열,k0 ye yv ll
상보적,s0 aa ng p0 oo c0 vv kf
절스,c0 vv ll s0 xx
치마,ch ii mm aa
나케,nn aa kh ee
각형,k0 aa kh yv ng
분의,p0 uu nn xi
륙,rr yu kf
적수,c0 vv kf ss uu
만경강,mm aa nf k0 yv ng k0 aa ng
계양,k0 ye ya ng
다이몬,t0 aa ii mm oo nf
원천,wv nf ch vv nf
모용수,mm oo yo ng s0 uu
주파,c0 uu ph aa
똑바로,tt oo kf pp aa rr oo
절실,c0 vv ll s0 ii ll
치레,ch ii rr ee
스티치,s0 xx th ii ch ii
진한,c0 ii nf h0 aa nf
진하,c0 ii nf h0 aa
진학,c0 ii nf h0 aa kf
파헤치,ph aa h0 ee ch ii
카운트다운,kh aa uu nf th xx t0 aa uu nf
내의원,nn qq xi wv nf
신궁,s0 ii nf kk uu ng
신권,s0 ii nf kk wv nf
초기화,ch oo k0 ii h0 wa
배향,p0 qq h0 ya ng
진해,c0 ii nf h0 qq
법상종,p0 vv pf ss aa ng c0 oo ng
으,xx
날드,nn aa ll tt xx
로렌초,rr oo rr ee nf ch oo
경원군,k0 yv ng wv nf k0 uu nf
세르비아인,s0 ee rr xx p0 ii aa ii nf
레더,rr ee t0 vv
맹주,mm qq ng c0 uu
저압,c0 vv aa pf
신극,s0 ii nf kk xx kf
분원,p0 uu nn wv nf
파나소닉,ph aa nn aa s0 oo nn ii kf
몰르,mm oo ll rr xx
레데,rr ee t0 ee
던지기,t0 vv nf c0 ii k0 ii
야전,ya c0 vv nf
원초,wv nf ch oo
신규,s0 ii nf kk yu
나치,nn aa ch ii
로버츠,rr oo p0 vv ch xx
나사우,nn aa s0 aa uu
신관,s0 ii nf kk wa nf
우주론,uu c0 uu rr oo nf
경승지,k0 yv ng s0 xx ng c0 ii
화장실,h0 wa c0 aa ng s0 ii ll
닝샤,nn ii ng s0 ya
동화사,t0 oo ng h0 wa s0 aa
신광,s0 ii nf kk wa ng
워드,wv t0 xx
몰리,mm oo ll rr ii
치료,ch ii rr yo
진행,c0 ii nf h0 qq ng
달성,t0 aa ll s0 vv ng
신구,s0 ii nf kk uu
선호도,s0 vv nf h0 oo t0 oo
치루,ch ii rr uu
쯤,cc xx mf
원추,wv nf ch uu
창출,ch aa ng ch uu ll
오작동,oo c0 aa kf tt oo ng
신교,s0 ii nf kk yo
도라지,t0 oo rr aa c0 ii
곶,k0 oo tf
배합,p0 qq h0 aa pf
끊어지,kk xx nn vv c0 ii
수수께끼,s0 uu s0 uu kk ee kk ii
무효화하,mm uu h0 yo h0 wa h0 aa
힘껏,h0 ii mf kk vv tf
트랙션,th xx rr qq kf ss yv nf
계의,k0 ye xi
나치스,nn aa ch ii s0 xx
진화,c0 ii nf h0 wa
르완다,rr xx wa nf t0 aa
배회,p0 qq h0 wo
분양,p0 uu nf nn ya ng
약정,ya kf cc vv ng
약점,ya kf cc vv mf
쓰보,ss xx p0 oo
약제,ya kf cc ee
저온,c0 vv oo nf
원칙,wv nf ch ii kf
충숙왕,ch uu ng s0 uu k0 wa ng
계인,k0 ye ii nf
휘어지,h0 wi vv c0 ii
약조,ya kf cc oo
계위,k0 ye wi
분업,p0 uu nn vv pf
작품집,c0 aa kf ph uu mf c0 ii pf
배후,p0 qq h0 uu
황토,h0 wa ng th oo
진형,c0 ii nf h0 yv ng
계율,k0 ye yu ll
집약적,c0 ii p0 ya kf cc vv kf
로렌츠,rr oo rr ee nf ch xx
프리랜서,ph xx rr ii rr qq nf s0 vv
계유,k0 ye yu
적산,c0 vv kf ss aa nf
진호,c0 ii nf h0 oo
분열,p0 uu nf nn yv ll
군호,k0 uu nf h0 oo
간수,k0 aa nf s0 uu
주재소,c0 uu c0 qq s0 oo
삼국지,s0 aa mf kk uu kf cc ii
차등,ch aa t0 xx ng
재촉,c0 qq ch oo kf
신기,s0 ii nf kk ii
목판화,mm oo kf ph aa nf h0 wa
회의론,h0 wo xi rr oo nf
신길,s0 ii nf kk ii ll
섭동,s0 vv pf tt oo ng
훈계,h0 uu nf k0 ye
폭력,ph oo ng nn yv kf
개개인,k0 qq k0 qq ii nf
차드,ch aa t0 xx
도망치,t0 oo mm aa ng ch ii
회의록,h0 wo xi rr oo kf
훈공,h0 uu nf k0 oo ng
벤치,p0 ee nf ch ii
절삭,c0 vv ll s0 aa kf
조각품,c0 oo k0 aa kf ph uu mf
저울,c0 vv uu ll
답변서,t0 aa pf pp yv nf s0 vv
쓰바,ss xx p0 aa
연습장,yv nf s0 xx pf cc aa ng
남성,nn aa mf s0 vv ng
필러,ph ii ll rr vv
벤츠,p0 ee nf ch xx
바바리,p0 aa p0 aa rr ii
폭로,ph oo ng nn oo
암성,aa mf s0 vv ng
승강장,s0 xx ng k0 aa ng c0 aa ng
무뚝뚝,mm uu tt uu kf tt uu kf
계자,k0 ye c0 aa
포섭,ph oo s0 vv pf
상해죄,s0 aa ng h0 qq c0 wo
남서,nn aa mf s0 vv
계장,k0 ye c0 aa ng
분야,p0 uu nf nn ya
윗면,wi nf mm yv nf
문지기,mm uu nf c0 ii k0 ii
대종상,t0 qq c0 oo ng s0 aa ng
계와,k0 ye wa
두들기,t0 uu t0 xx ll k0 ii
날뛰,nn aa ll tt wi
순이익,s0 uu nn ii ii kf
진흙,c0 ii nf h0 xx kf
세계로,s0 ee k0 ye rr oo
원동력,wv nf t0 oo ng nn yv kf
진희,c0 ii nf h0 xi
황태,h0 wa ng th qq
설교자,s0 vv ll k0 yo c0 aa
진흥,c0 ii nf h0 xx ng
레지스,rr ee c0 ii s0 xx
남색,nn aa mf s0 qq kf
무용단,mm uu yo ng t0 aa nf
턴,th vv nf
남상,nn aa mf s0 aa ng
중계방송,c0 uu ng k0 ye p0 aa ng s0 oo ng
기획원,k0 ii h0 wo k0 wv nf
남산,nn aa mf s0 aa nf
저음,c0 vv xx mf
이시애,ii s0 ii qq
특성화,th xx kf ss vv ng h0 wa
저의,c0 vv xi
민영익,mm ii nf nn yv ng ii kf
문교부,mm uu nf k0 yo p0 uu
찔리,cc ii ll rr ii
마찰음,mm aa ch aa rr xx mf
대천사,t0 qq ch vv nf s0 aa
나체,nn aa ch ee
세도가,s0 ee t0 oo k0 aa
저자,c0 vv c0 aa
저작,c0 vv c0 aa kf
각하,k0 aa kh aa
노쓰,nn oo ss xx
계원,k0 ye wv nf
측,ch xx kf
놓치,nn oo h0 ch ii
저장,c0 vv c0 aa ng
갈릴리,k0 aa ll rr ii ll rr ii
원공,wv nf k0 oo ng
라스트,rr aa s0 xx th xx
저작물,c0 vv c0 aa ng mm uu ll
작사자,c0 aa kf ss aa c0 aa
적선,c0 vv kf ss vv nf
깊숙이,k0 ii pf ss uu k0 ii
적설,c0 vv kf ss vv ll
티베트,th ii p0 ee th xx
남해안,nn aa mf h0 qq aa nf
적성,c0 vv kf ss vv ng
약진,ya kf cc ii nf
성장률,s0 vv ng c0 aa ng nn yu ll
말르,mm aa ll rr xx
패이,ph qq ii
종로,c0 oo ng nn oo
친밀,ch ii nf mm ii ll
두루,t0 uu rr uu
체재,ch ee c0 qq
아바스,aa p0 aa s0 xx
칠판,ch ii ll ph aa nf
수조,s0 uu c0 oo
수족,s0 uu c0 oo kf
잡곡,c0 aa pf kk oo kf
잡고,c0 aa pf kk oo
잡지,c0 aa pf cc ii
수저,s0 uu c0 vv
수적,s0 uu c0 vv kf
적합성,c0 vv kh aa pf ss vv ng
수전,s0 uu c0 vv nf
그래서,k0 xx rr qq s0 vv
수제,s0 uu c0 ee
수정,s0 uu c0 vv ng
대각선,t0 qq k0 aa kf ss vv nf
번화가,p0 vv nf h0 wa k0 aa
종려,c0 oo ng nn yv
팔면체,ph aa ll mm yv nf ch ee
소책자,s0 oo ch qq kf cc aa
아이콘,aa ii kh oo nf
독단적,t0 oo kf tt aa nf c0 vv kf
문민정부,mm uu nf mm ii nf c0 vv ng p0 uu
항명,h0 aa ng mm yv ng
종료,c0 oo ng nn yo
스패닉,s0 xx ph qq nn ii kf
쇠사슬,s0 wo s0 aa s0 xx ll
시냅스,s0 ii nn qq pf ss xx
거창,k0 vv ch aa ng
계획서,k0 ye h0 wo kf ss vv
심하,s0 ii mf h0 aa
별,p0 yv ll
잡가,c0 aa pf kk aa
기대감,k0 ii t0 qq k0 aa mf
항목,h0 aa ng mm oo kf
항모,h0 aa ng mm oo
두로,t0 uu rr oo
심해,s0 ii mf h0 qq
선발전,s0 vv nf p0 aa ll cc vv nf
수주,s0 uu c0 uu
포졸,ph oo c0 oo ll
말린,mm aa ll rr ii nf
변두리,p0 yv nf t0 uu rr ii
두렵,t0 uu rr yv pf
굉,k0 wo ng
심플,s0 ii mf ph xx ll
두령,t0 uu rr yv ng
수종,s0 uu c0 oo ng
조부,c0 oo p0 uu
말리,mm aa ll rr ii
쿠르간,kh uu rr xx k0 aa nf
중거리,c0 uu ng k0 vv rr ii
패자,ph qq c0 aa
시간표,s0 ii k0 aa nf ph yo
당진군,t0 aa ng c0 ii nf k0 uu nf
두레,t0 uu rr ee
순화,s0 uu nf h0 wa
호전적,h0 oo c0 vv nf c0 vv kf
순환,s0 uu nf h0 wa nf
종류,c0 oo ng nn yu
영수,yv ng s0 uu
낡,nn aa kf
단체전,t0 aa nf ch ee c0 vv nf
말로,mm aa ll rr oo
패왕,ph qq wa ng
크로노스,kh xx rr oo nn oo s0 xx
요람,yo rr aa mf
범행,p0 vv mf h0 qq ng
덕행,t0 vv kh qq ng
항문,h0 aa ng mm uu nf
요란,yo rr aa nf
흘러들어가,h0 xx ll rr vv t0 xx rr vv k0 aa
횃불,h0 wq tf pp uu ll
조반,c0 oo p0 aa nf
포즈,ph oo c0 xx
조밀,c0 oo mm ii ll
장애인,c0 aa ng qq ii nf
우문술,uu mm uu nf s0 uu ll
두리,t0 uu rr ii
가맹,k0 aa mm qq ng
로이,rr oo ii
활약,h0 wa ll rr ya kf
법학부,p0 vv ph aa kf pp uu
조방,c0 oo p0 aa ng
수질,s0 uu c0 ii ll
조병,c0 oo p0 yv ng
두르,t0 uu rr xx
수지,s0 uu c0 ii
수직,s0 uu c0 ii kf
수진,s0 uu c0 ii nf
친분,ch ii nf p0 uu nf
친부,ch ii nf p0 uu
살육,s0 aa ll rr yu kf
말루,mm aa ll rr uu
수집,s0 uu c0 ii pf
종말,c0 oo ng mm aa ll
토,th oo
히드,h0 ii t0 xx
형태소,h0 yv ng th qq s0 oo
조복,c0 oo p0 oo kf
두류,t0 uu rr yu
도총부,t0 oo ch oo ng p0 uu
트페,th xx ph ee
는데,nn xx nf t0 ee
패용,ph qq yo ng
방정식,p0 aa ng c0 vv ng s0 ii kf
수증,s0 uu c0 xx ng
순회,s0 uu nf h0 wo
바닥,p0 aa t0 aa kf
범하,p0 vv mf h0 aa
활엽,h0 wa ll rr yv pf
백악기,p0 qq k0 aa kf kk ii
변론,p0 yv ll rr oo nf
볼트,p0 oo ll th xx
이런저런,ii rr vv nf c0 vv rr vv nf
표기법,ph yo k0 ii p0 vv pf
금,k0 xx mf
순하,s0 uu nf h0 aa
원활히,wv nf h0 wa ll h0 ii
시모스,s0 ii mm oo s0 xx
럼,rr vv mf
항력,h0 aa ng nn yv kf
항렬,h0 aa ng nn yv ll
트랙,th xx rr qq kf
순항,s0 uu nf h0 aa ng
구상권,k0 uu s0 aa ng k0 wv nf
헬레네,h0 ee ll rr ee nn ee
트랜,th xx rr qq nf
바노,p0 aa nn oo
디펜스,t0 ii ph ee nf s0 xx
심히,s0 ii mf h0 ii
더욱,t0 vv uu kf
항로,h0 aa ng nn oo
두목,t0 uu mm oo kf
대장군,t0 qq c0 aa ng k0 uu nf
레스코,rr ee s0 xx kh oo
헥,h0 ee kf
종교인,c0 oo ng k0 yo ii nf
승자,s0 xx ng c0 aa
솔직,s0 oo ll c0 ii kf
괴로움,k0 wo rr oo uu mf
노야,nn oo ya
두면,t0 uu mm yv nf
생물종,s0 qq ng mm uu ll cc oo ng
말미,mm aa ll mm ii
코피,kh oo ph ii
승인,s0 xx ng ii nf
액면,qq ng mm yv nf
때때로,tt qq tt qq rr oo
삼국유사,s0 aa mf kk uu k0 yu s0 aa
태안군,th qq aa nf k0 uu nf
기행문,k0 ii h0 qq ng mm uu nf
승의,s0 xx ng xi
안정감,aa nf c0 vv ng k0 aa mf
격투기,k0 yv kf th uu k0 ii
물적,mm uu ll cc vv kf
반응성,p0 aa nn xx ng s0 vv ng
무소속,mm uu s0 oo s0 oo kf
활용,h0 wa ll rr yo ng
백악관,p0 qq k0 aa kf kk wa nf
차세대,ch aa s0 ee t0 qq
종명,c0 oo ng mm yv ng
홍,h0 oo ng
ㅍ,
우승컵,uu s0 xx ng kh vv pf
준말,c0 uu nf mm aa ll
하노버,h0 aa nn oo p0 vv
순행,s0 uu nf h0 qq ng
종목,c0 oo ng mm oo kf
간식,k0 aa nf s0 ii kf
경제인,k0 yv ng c0 ee ii nf
골자,k0 oo ll c0 aa
오소리,oo s0 oo rr ii
수출국,s0 uu ch uu ll k0 uu kf
조비,c0 oo p0 ii
침수,ch ii mf s0 uu
토요일,th oo yo ii ll
버무리,p0 vv mm uu rr ii
가이거,k0 aa ii k0 vv
전주곡,c0 vv nf c0 uu k0 oo kf
승원,s0 xx ng wv nf
그만두,k0 xx mm aa nf t0 uu
승용,s0 xx ng nn yo ng
시카고,s0 ii kh aa k0 oo
아,aa
방통,p0 aa ng th oo ng
돋,t0 oo tf
종묘,c0 oo ng mm yo
민첩성,mm ii nf ch vv pf ss vv ng
토바고,th oo p0 aa k0 oo
룽,rr uu ng
물질,mm uu ll cc ii ll
브루클린,p0 xx rr uu kh xx ll rr ii nf
활자,h0 wa ll c0 aa
짐바브웨,c0 ii mf p0 aa p0 xx we
말뫼,mm aa ll mm wo
총연맹,ch oo ng nn yv nf mm qq ng
대장경,t0 qq c0 aa ng k0 yv ng
심화,s0 ii mf h0 wa
살아나,s0 aa rr aa nn aa
잘,c0 aa ll
정당성,c0 vv ng t0 aa ng s0 vv ng
로어,rr oo vv
살아남,s0 aa rr aa nn aa mf
실명제,s0 ii ll mm yv ng c0 ee
린스,rr ii nf s0 xx
신칸센,s0 ii nf kh aa nf s0 ee nf
림,rr ii mf
재배치,c0 qq p0 qq ch ii
항만,h0 aa ng mm aa nf
웅변,uu ng p0 yv nf
심혈,s0 ii mf h0 yv ll
방면,p0 aa ng mm yv nf
닷컴,t0 aa tf kh vv mf
가속기,k0 aa s0 oo kf kk ii
침실,ch ii mf s0 ii ll
로열,rr oo yv ll
흔들리,h0 xx nf t0 xx ll rr ii
군복,k0 uu nf p0 oo kf
스피어스,s0 xx ph ii vv s0 xx
흔들림,h0 xx nf t0 xx ll rr ii mf
더위,t0 vv wi
캠브리지,kh qq mf p0 xx rr ii c0 ii
필터,ph ii ll th vv
헬레나,h0 ee ll rr ee nn aa
즉,c0 xx kf
조류,c0 oo rr yu
규범적,k0 yu p0 vv mf c0 vv kf
동떨어지,t0 oo ng tt vv rr vv c0 ii
톱니,th oo mf nn ii
시권,s0 ii k0 wv nf
폐차,ph ye ch aa
조르,c0 oo rr xx
결박,k0 yv ll p0 aa kf
불쾌감,p0 uu ll kh wq k0 aa mf
거구,k0 vv k0 uu
거국,k0 vv k0 uu kf
바라,p0 aa rr aa
바락,p0 aa rr aa kf
종반,c0 oo ng p0 aa nf
가로수,k0 aa rr oo s0 uu
수차,s0 uu ch aa
승소,s0 xx ng s0 oo
수찬,s0 uu ch aa nf
관심사,k0 wa nf s0 ii mf s0 aa
혐기성,h0 yv mf k0 ii s0 vv ng
엄밀히,vv mf mm ii ll h0 ii
헤어스타일,h0 ee vv s0 xx th aa ii ll
회전축,h0 wo c0 vv nf ch uu kf
지신,c0 ii s0 ii nf
종별,c0 oo ng p0 yv ll
포인트,ph oo ii nf th xx
필화,ph ii ll h0 wa
분자량,p0 uu nf c0 aa rr ya ng
고고학자,k0 oo k0 oo h0 aa kf cc aa
바래,p0 aa rr qq
바랑,p0 aa rr aa ng
로스,rr oo s0 xx
경제성,k0 yv ng c0 ee s0 vv ng
청도군,ch vv ng t0 oo k0 uu nf
루르드,rr uu rr xx t0 xx
중심주의,c0 uu ng s0 ii mf c0 uu xi
계획안,k0 ye h0 wo k0 aa nf
승선,s0 xx ng s0 vv nf
간섭,k0 aa nf s0 vv pf
수천,s0 uu ch vv nf
수첩,s0 uu ch vv pf
연합회,yv nf h0 aa ph wo
닷지,t0 aa tf cc ii
두발,t0 uu p0 aa ll
조립,c0 oo rr ii pf
소프트볼,s0 oo ph xx th xx p0 oo ll
탸,th ya
시구,s0 ii k0 uu
시국,s0 ii k0 uu kf
수체,s0 uu ch ee
둥그렇,t0 uu ng k0 xx rr vv h0
획,h0 wo kf
조로,c0 oo rr oo
기울이,k0 ii uu rr ii
조례,c0 oo rr ye
간선,k0 aa nf s0 vv nf
경찰관,k0 yv ng ch aa ll k0 wa nf
북유럽,p0 uu k0 yu rr vv pf
시게,s0 ii k0 ee
조롱,c0 oo rr oo ng
활성,h0 wa ll s0 vv ng
승상,s0 xx ng s0 aa ng
마돈나,mm aa t0 oo nf nn aa
경제사,k0 yv ng c0 ee s0 aa
일찌감치,ii ll cc ii k0 aa mf ch ii
수초,s0 uu ch oo
준비,c0 uu nf p0 ii
서둘,s0 vv t0 uu ll
아스카,aa s0 xx kh aa
시계,s0 ii k0 ye
승산,s0 xx ng s0 aa nf
포춘,ph oo ch uu nf
축구장,ch uu kf kk uu c0 aa ng
시공,s0 ii k0 oo ng
덕양구,t0 vv k0 ya ng k0 uu
요동,yo t0 oo ng
조령,c0 oo rr yv ng
두부,t0 uu p0 uu
비아누스,p0 ii aa nn uu s0 xx
시고,s0 ii k0 oo
조력,c0 oo rr yv kf
요도,yo t0 oo
경찰국,k0 yv ng ch aa ll k0 uu kf
브릭스,p0 xx rr ii kf ss xx
시골,s0 ii k0 oo ll
이재학,ii c0 qq h0 aa kf
시간,s0 ii k0 aa nf
초전도,ch oo c0 vv nf t0 oo
시가,s0 ii k0 aa
시각,s0 ii k0 aa kf
경찰권,k0 yv ng ch aa ll k0 wv nf
저항력,c0 vv h0 aa ng nn yv kf
수취,s0 uu ch wi
휴양지,h0 yu ya ng c0 ii
독주,t0 oo kf cc uu
에이스,ee ii s0 xx
독자성,t0 oo kf cc aa s0 vv ng
발명가,p0 aa ll mm yv ng k0 aa
늘어지,nn xx rr vv c0 ii
조루,c0 oo rr uu
수출,s0 uu ch uu ll
빼어나,pp qq vv nn aa
회로,h0 wo rr oo
패스,ph qq s0 xx
수축,s0 uu ch uu kf
김시습,k0 ii mf s0 ii s0 xx pf
지부장,c0 ii p0 uu c0 aa ng
정당인,c0 vv ng t0 aa ng ii nf
장악원,c0 aa ng aa k0 wv nf
서남,s0 vv nn aa mf
우승지,uu s0 xx ng c0 ii
연보라색,yv nf p0 oo rr aa s0 qq kf
말벌,mm aa ll p0 vv ll
롯데,rr oo tf tt ee
물체,mm uu ll ch ee
민주제,mm ii nf c0 uu c0 ee
수치,s0 uu ch ii
민주적,mm ii nf c0 uu c0 vv kf
앵글,qq ng k0 xx ll
패션,ph qq s0 yv nf
멘셰비키,mm ee nf s0 ye p0 ii kh ii
바디,p0 aa t0 ii
우연히,uu yv nf h0 ii
카르텔,kh aa rr xx th ee ll
인동,ii nf t0 oo ng
부여군,p0 uu yv k0 uu nf
후군,h0 uu k0 uu nf
공식적,k0 oo ng s0 ii kf cc vv kf
게릴라,k0 ee rr ii ll rr aa
정저우,c0 vv ng c0 vv uu
더스,t0 vv s0 xx
후광,h0 uu k0 wa ng
바하,p0 aa h0 aa
조무,c0 oo mm uu
해왕성,h0 qq wa ng s0 vv ng
조문,c0 oo mm uu nf
조물,c0 oo mm uu ll
상대편,s0 aa ng t0 qq ph yv nf
집어넣,c0 ii p0 vv nn vv h0
칠하,ch ii ll h0 aa
라든지,rr aa t0 xx nf c0 ii
오른편,oo rr xx nf ph yv nf
예산군,ye s0 aa nf k0 uu nf
미온,mm ii oo nf
테로스,th ee rr oo s0 xx
항법,h0 aa ng p0 vv pf
여대생,yv t0 qq s0 qq ng
그분,k0 xx p0 uu nf
씌우,ss xi uu
천,ch vv nf
아이즈,aa ii c0 xx
밧,p0 aa tf
조미,c0 oo mm ii
원나라,wv nf nn aa rr aa
조민,c0 oo mm ii nf
칩셋,ch ii pf ss ee tf
생물체,s0 qq ng mm uu ll ch ee
로사,rr oo s0 aa
수컷,s0 uu kh vv tf
침입,ch ii mm ii pf
갤리,k0 qq ll rr ii
전문화,c0 vv nf mm uu nf h0 wa
항변,h0 aa ng p0 yv nf
상대팀,s0 aa ng t0 qq th ii mf
델스,t0 ee ll s0 xx
후궁,h0 uu k0 uu ng
뽑,pp oo pf
봐주,p0 wa c0 uu
심판,s0 ii mf ph aa nf
항복,h0 aa ng p0 oo kf
패소,ph qq s0 oo
빻,pp aa h0
한림원,h0 aa ll rr ii mm wv nf
숨어들,s0 uu mm vv t0 xx ll
포인터,ph oo ii nf th vv
로서,rr oo s0 vv
아이젠,aa ii c0 ee nf
사택,s0 aa th qq kf
목,mm oo kf
니르,nn ii rr xx
외사촌,wo s0 aa ch oo nf
컴퍼스,kh vv mf ph vv s0 xx
허점,h0 vv c0 vv mf
후가,h0 uu k0 aa
허정,h0 vv c0 vv ng
씌이,ss xi ii
허적,h0 vv c0 vv kf
르가,rr xx k0 aa
문자열,mm uu nf c0 aa yv ll
거기,k0 vv k0 ii
번식기,p0 vv nf s0 ii kf kk ii
아프가니스탄,aa ph xx k0 aa nn ii s0 xx th aa nf
바둑,p0 aa t0 uu kf
체온,ch ee oo nf
연구소장,yv nf k0 uu s0 oo c0 aa ng
후계,h0 uu k0 ye
순탄,s0 uu nf th aa nf
경내,k0 yv ng nn qq
준법,c0 uu nf pp vv pf
그나마,k0 xx nn aa mm aa
시급,s0 ii k0 xx pf
시기,s0 ii k0 ii
남원시,nn aa mm wv nf s0 ii
후고,h0 uu k0 oo
동구권,t0 oo ng k0 uu k0 wv nf
카르타,kh aa rr xx th aa
하드디스크,h0 aa t0 xx t0 ii s0 xx kh xx
범퍼,p0 vv mf ph vv
포켓,ph oo kh ee tf
조명,c0 oo mm yv ng
나카노,nn aa kh aa nn oo
펴지,ph yv c0 ii
바드,p0 aa t0 xx
시켰,s0 ii kh yv tf
경산군,k0 yv ng s0 aa nf k0 uu nf
여,yv
상나라,s0 aa ng nn aa rr aa
승수,s0 xx ng s0 uu
후경,h0 uu k0 yv ng
조모,c0 oo mm oo
조목,c0 oo mm oo kf
함경북도,h0 aa mf k0 yv ng p0 uu kf tt oo
시실리,s0 ii s0 ii ll rr ii
상호군,s0 aa ng h0 oo k0 uu nf
포상,ph oo s0 aa ng
급속히,k0 xx pf ss oo kh ii
자기권,c0 aa k0 ii k0 wv nf
데카르,t0 ee kh aa rr xx
짝사랑,cc aa kf ss aa rr aa ng
서벵골,s0 vv p0 ee ng k0 oo ll
인원수,ii nn wv nf s0 uu
말년,mm aa ll rr yv nf
뛰어넘,tt wi vv nn vv mf
폭격기,ph oo kf kk yv kf kk ii
경주시,k0 yv ng c0 uu s0 ii
논픽션,nn oo nf ph ii kf ss yv nf
졀,c0 yv ll
파인더,ph aa ii nf t0 vv
정치가,c0 vv ng ch ii k0 aa
큐,kh yu
장관직,c0 aa ng k0 wa nf c0 ii kf
허위,h0 vv wi
로카,rr oo kh aa
포사,ph oo s0 aa
자동적,c0 aa t0 oo ng c0 vv kf
허유,h0 vv yu
갤러,k0 qq ll rr vv
수색,s0 uu s0 qq kf
수상,s0 uu s0 aa ng
주도적,c0 uu t0 oo c0 vv kf
수생,s0 uu s0 qq ng
갤런,k0 qq ll rr vv nf
로스트,rr oo s0 xx th xx
하트,h0 aa th xx
융,yu ng
발견,p0 aa ll k0 yv nf
준동,c0 uu nf t0 oo ng
쇠약,s0 wo ya kf
수사,s0 uu s0 aa
국가주의,k0 uu kf kk aa c0 uu xi
청동기,ch vv ng t0 oo ng k0 ii
합금,h0 aa pf kk xx mf
로커,rr oo kh vv
근력,k0 xx ll rr yv kf
로컬,rr oo kh vv ll
조두,c0 oo t0 uu
로켓,rr oo kh ee tf
아이오,aa ii oo
로케,rr oo kh ee
세기말,s0 ee k0 ii mm aa ll
먼지,mm vv nf c0 ii
패치,ph qq ch ii
니라,nn ii rr aa
창설자,ch aa ng s0 vv ll c0 aa
바이런,p0 aa ii rr vv nf
기신론,k0 ii s0 ii ll rr oo nf
침전,ch ii mf c0 vv nf
한의사,h0 aa nn xi s0 aa
그리하여,k0 xx rr ii h0 aa yv
수서,s0 uu s0 vv
수석,s0 uu s0 vv kf
허영,h0 vv yv ng
